datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2015-12-01 16:35:00,PARA,ABAETETUBA,Amazonia,-1.68494,-48.7395,12,1,16,16
2015-12-02 16:17:00,PARA,ABAETETUBA,Amazonia,-1.7019799999999998,-48.60581,12,2,16,21
2015-12-06 16:42:00,PARA,ABAETETUBA,Amazonia,-1.6721700000000002,-48.76335,12,6,16,12
2015-11-09 16:48:00,PARA,ABAETETUBA,Amazonia,-1.7029599999999998,-49.01357,11,9,16,12
2015-11-16 16:17:00,PARA,ABAETETUBA,Amazonia,-1.70668,-48.8382,11,16,16,15
2015-08-17 16:24:00,PARA,ABAETETUBA,Amazonia,-1.68475,-48.76508,8,17,16,12
2015-11-20 16:42:00,PARA,ABAETETUBA,Amazonia,-1.665,-48.72248,11,20,16,11
2015-11-22 16:04:00,PARA,ABAETETUBA,Amazonia,-1.6538099999999998,-48.93814,11,22,16,12
2015-11-23 16:29:00,PARA,ABAETETUBA,Amazonia,-1.716,-48.732,11,23,16,12
2015-11-23 17:26:00,PARA,ABAETETUBA,Amazonia,-1.6815,-48.76847,11,23,17,28
2015-12-23 16:42:00,PARA,ABAETETUBA,Amazonia,-1.68,-48.735,12,23,16,15
2015-11-24 17:07:00,PARA,ABAETETUBA,Amazonia,-1.66015,-48.72329000000001,11,24,17,20
2015-11-25 16:48:00,PARA,ABAETETUBA,Amazonia,-1.67822,-48.72853,11,25,16,26
2015-11-29 17:13:00,PARA,ABAETETUBA,Amazonia,-1.7608099999999998,-48.71254,11,29,17,13
2015-11-30 16:54:00,PARA,ABAETETUBA,Amazonia,-1.6970299999999998,-48.57407,11,30,16,33
2015-12-06 20:41:24,PARA,ABEL FIGUEIREDO,Amazonia,-4.9110000000000005,-48.408,12,6,20,12
2015-10-12 04:34:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.86929,-48.41491,10,12,4,12
2015-11-13 17:45:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.9,-48.39,11,13,17,25
2015-10-14 03:57:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.89334,-48.44758,10,14,3,13
2015-11-14 04:15:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.87662,-48.50064,11,14,4,18
2015-10-17 04:41:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.93735,-48.33391,10,17,4,13
2015-10-19 04:03:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.8911,-48.46028,10,19,4,14
2015-10-22 04:47:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.843380000000001,-48.54888,10,22,4,21
2015-10-23 04:28:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.845280000000001,-48.55885,10,23,4,12
2015-10-01 04:42:00,TOCANTINS,ABREULANDIA,Cerrado,-9.51609,-49.31,10,1,4,16
2015-09-02 16:40:00,TOCANTINS,ABREULANDIA,Cerrado,-9.645,-49.25,9,2,16,17
2015-10-02 04:23:00,TOCANTINS,ABREULANDIA,Cerrado,-9.669210000000001,-49.09182,10,2,4,13
2015-07-03 04:31:00,TOCANTINS,ABREULANDIA,Cerrado,-9.403089999999999,-49.39978,7,3,4,16
2015-07-03 17:07:00,TOCANTINS,ABREULANDIA,Cerrado,-9.26446,-49.42171,7,3,17,21
2015-07-04 16:48:00,TOCANTINS,ABREULANDIA,Cerrado,-9.24893,-49.40718,7,4,16,23
2015-09-04 04:49:00,TOCANTINS,ABREULANDIA,Cerrado,-9.7091,-49.25302,9,4,4,21
2015-07-05 03:53:00,TOCANTINS,ABREULANDIA,Cerrado,-9.24651,-49.41588,7,5,3,26
2015-07-05 05:34:00,TOCANTINS,ABREULANDIA,Cerrado,-9.26198,-49.40805,7,5,5,18
2015-07-05 16:29:00,TOCANTINS,ABREULANDIA,Cerrado,-9.71055,-49.01606,7,5,16,30
2015-09-05 04:30:00,TOCANTINS,ABREULANDIA,Cerrado,-9.36834,-49.28304,9,5,4,15
2015-10-06 04:48:00,TOCANTINS,ABREULANDIA,Cerrado,-9.38435,-49.52794,10,6,4,11
2015-07-08 17:13:00,TOCANTINS,ABREULANDIA,Cerrado,-9.26569,-49.43525,7,8,17,12
2015-07-09 04:18:00,TOCANTINS,ABREULANDIA,Cerrado,-9.28707,-49.4562,7,9,4,14
2015-09-09 04:55:00,TOCANTINS,ABREULANDIA,Cerrado,-9.300089999999999,-49.44756,9,9,4,15
2015-09-10 04:36:00,TOCANTINS,ABREULANDIA,Cerrado,-9.60114,-49.27265,9,10,4,18
2015-10-10 05:13:00,TOCANTINS,ABREULANDIA,Cerrado,-9.39675,-49.5216,10,10,5,24
2015-10-10 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.47,-49.4,10,10,21,13
2015-07-11 16:16:00,TOCANTINS,ABREULANDIA,Cerrado,-9.407739999999999,-49.40779000000001,7,11,16,15
2015-08-11 21:07:45,TOCANTINS,ABREULANDIA,Cerrado,-9.362,-49.374,8,11,21,11
2015-10-11 01:30:00,TOCANTINS,ABREULANDIA,Cerrado,-9.47,-49.37,10,11,1,11
