datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2012-08-01 16:50:00,PARA,ABAETETUBA,Amazonia,-1.8779299999999999,-48.86454000000001,8,1,16,15
2012-12-01 17:12:00,PARA,ABAETETUBA,Amazonia,-1.695,-48.662,12,1,17,12
2012-12-02 16:43:00,PARA,ABAETETUBA,Amazonia,-1.7490700000000001,-48.74105,12,2,16,11
2012-11-05 16:50:00,PARA,ABAETETUBA,Amazonia,-1.76395,-48.71085,11,5,16,13
2012-11-06 16:31:00,PARA,ABAETETUBA,Amazonia,-1.8169400000000002,-48.93513,11,6,16,12
2012-12-09 16:12:00,PARA,ABAETETUBA,Amazonia,-1.87127,-48.82544,12,9,16,12
2012-12-12 16:56:00,PARA,ABAETETUBA,Amazonia,-1.73918,-48.63257,12,12,16,24
2012-11-15 17:02:00,PARA,ABAETETUBA,Amazonia,-1.7232,-48.79048,11,15,17,18
2012-11-16 16:43:00,PARA,ABAETETUBA,Amazonia,-1.7460799999999999,-48.66708,11,16,16,13
2012-08-19 16:12:00,PARA,ABAETETUBA,Amazonia,-1.73721,-48.59422,8,19,16,14
2012-11-19 16:45:00,PARA,ABAETETUBA,Amazonia,-1.67,-48.72,11,19,16,28
2012-11-20 17:09:00,PARA,ABAETETUBA,Amazonia,-1.90976,-48.92322,11,20,17,14
2012-08-21 17:15:00,PARA,ABAETETUBA,Amazonia,-1.8150700000000002,-48.85796,8,21,17,11
2012-08-22 16:56:00,PARA,ABAETETUBA,Amazonia,-1.72765,-48.69869,8,22,16,13
2012-11-23 16:12:00,PARA,ABAETETUBA,Amazonia,-1.6650900000000002,-48.80499,11,23,16,17
2012-11-25 17:15:00,PARA,ABAETETUBA,Amazonia,-1.7404099999999998,-48.70163,11,25,17,15
2012-11-26 16:56:00,PARA,ABAETETUBA,Amazonia,-1.79925,-48.72777,11,26,16,40
2012-11-27 16:37:00,PARA,ABAETETUBA,Amazonia,-1.77721,-48.64492,11,27,16,19
2012-07-30 17:27:00,PARA,ABAETETUBA,Amazonia,-1.83548,-48.78246,7,30,17,11
2012-07-31 17:09:00,PARA,ABAETETUBA,Amazonia,-1.76197,-48.79563,7,31,17,11
2012-09-17 15:25:00,BAHIA,ABAIRA,Caatinga,-13.37609,-41.84515,9,17,15,11
2012-09-17 17:05:00,BAHIA,ABAIRA,Caatinga,-13.39135,-41.83305,9,17,17,21
2012-09-18 04:13:00,BAHIA,ABAIRA,Caatinga,-13.3643,-41.84552,9,18,4,40
2012-09-19 03:54:00,BAHIA,ABAIRA,Caatinga,-13.35878,-41.85141,9,19,3,30
2012-09-19 16:27:00,BAHIA,ABAIRA,Caatinga,-13.349310000000001,-41.84532,9,19,16,14
2012-09-21 03:16:00,BAHIA,ABAIRA,Caatinga,-13.328629999999999,-41.84488,9,21,3,11
2012-09-21 15:50:00,BAHIA,ABAIRA,Caatinga,-13.3415,-41.84237,9,21,15,14
2012-10-04 16:49:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.94961,-48.49357,10,4,16,11
2012-09-13 04:04:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.89176,-48.48176,9,13,4,15
2012-09-13 16:43:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.9101,-48.49129,9,13,16,40
2012-09-14 03:46:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.91432,-48.52424,9,14,3,38
2012-09-14 05:26:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.91635,-48.51926,9,14,5,23
2012-11-16 16:43:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.98399,-48.40043,11,16,16,13
