datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2008-06-28 16:30:00,PARA,ABAETETUBA,Amazonia,-1.8419999999999999,-48.767,6,28,16,11
2008-09-08 17:18:00,TOCANTINS,ABREULANDIA,Cerrado,-9.485,-49.372,9,8,17,12
2008-09-10 17:06:00,TOCANTINS,ABREULANDIA,Cerrado,-9.468,-49.352,9,10,17,11
2008-10-07 19:52:18,MARANHAO,ACAILANDIA,Amazonia,-4.80333,-47.30667,10,7,19,11
2008-10-12 20:45:00,MARANHAO,ACAILANDIA,Amazonia,-4.95,-47.75,10,12,20,17
2008-11-12 19:45:00,MARANHAO,ACAILANDIA,Amazonia,-4.816669999999999,-47.21667,11,12,19,16
2008-09-13 20:15:00,MARANHAO,ACAILANDIA,Amazonia,-4.88333,-47.3,9,13,20,14
2008-10-13 16:45:00,MARANHAO,ACAILANDIA,Amazonia,-4.96667,-46.95,10,13,16,12
2008-10-13 19:52:36,MARANHAO,ACAILANDIA,Amazonia,-4.4366699999999994,-46.90167,10,13,19,21
2008-10-13 20:45:00,MARANHAO,ACAILANDIA,Amazonia,-5.0,-46.93333,10,13,20,16
2008-10-17 19:56:28,MARANHAO,ACAILANDIA,Amazonia,-4.8516699999999995,-47.72333,10,17,19,18
2008-11-17 16:44:00,MARANHAO,ACAILANDIA,Amazonia,-4.498,-47.034,11,17,16,15
2008-11-17 20:12:37,MARANHAO,ACAILANDIA,Amazonia,-4.96667,-46.98333,11,17,20,23
2008-11-18 20:00:14,MARANHAO,ACAILANDIA,Amazonia,-4.48,-47.085,11,18,20,29
2008-11-19 20:06:49,MARANHAO,ACAILANDIA,Amazonia,-4.61,-47.68167,11,19,20,14
2008-10-21 20:28:58,MARANHAO,ACAILANDIA,Amazonia,-4.53333,-47.0,10,21,20,36
2008-11-22 20:45:00,MARANHAO,ACAILANDIA,Amazonia,-4.85,-47.11667,11,22,20,13
2008-10-25 16:45:00,MARANHAO,ACAILANDIA,Amazonia,-4.41667,-47.03333,10,25,16,11
2008-10-25 20:04:58,MARANHAO,ACAILANDIA,Amazonia,-4.74667,-47.1,10,25,20,19
2008-09-26 19:58:39,MARANHAO,ACAILANDIA,Amazonia,-4.58,-46.97667,9,26,19,14
2008-10-26 19:41:54,MARANHAO,ACAILANDIA,Amazonia,-5.00167,-47.00333,10,26,19,17
2008-10-27 00:45:00,MARANHAO,ACAILANDIA,Amazonia,-5.0,-46.98333,10,27,0,11
2008-10-27 01:10:45,MARANHAO,ACAILANDIA,Amazonia,-4.667,-47.2,10,27,1,26
2008-10-28 20:45:54,MARANHAO,ACAILANDIA,Amazonia,-4.49333,-47.00833,10,28,20,14
2008-10-30 19:46:02,MARANHAO,ACAILANDIA,Amazonia,-4.9366699999999994,-46.93167,10,30,19,15
2008-11-30 20:59:39,MARANHAO,ACAILANDIA,Amazonia,-4.71167,-47.07,11,30,20,13
2008-11-01 16:44:00,PARA,ACARA,Amazonia,-1.9280000000000002,-48.053,11,1,16,20
2008-12-01 16:57:00,PARA,ACARA,Amazonia,-2.469,-48.51600000000001,12,1,16,13
2008-09-02 16:19:00,PARA,ACARA,Amazonia,-1.761,-48.29,9,2,16,11
2008-11-03 16:32:00,PARA,ACARA,Amazonia,-2.219,-48.468,11,3,16,48
2008-08-06 16:37:00,PARA,ACARA,Amazonia,-1.861,-48.24,8,6,16,18
2008-10-07 16:50:00,PARA,ACARA,Amazonia,-2.385,-48.63399999999999,10,7,16,11
2008-08-08 16:25:00,PARA,ACARA,Amazonia,-1.761,-48.39100000000001,8,8,16,15
2008-10-09 16:38:00,PARA,ACARA,Amazonia,-1.7109999999999999,-48.217,10,9,16,17
2008-11-10 16:38:00,PARA,ACARA,Amazonia,-2.123,-48.342,11,10,16,17
2008-11-12 16:26:00,PARA,ACARA,Amazonia,-2.128,-48.325,11,12,16,34
2008-01-13 16:23:00,PARA,ACARA,Amazonia,-2.064,-48.584,1,13,16,12
2008-08-13 16:43:00,PARA,ACARA,Amazonia,-2.314,-48.603,8,13,16,13
2008-09-14 16:43:00,PARA,ACARA,Amazonia,-2.472,-48.599,9,14,16,18
2008-12-14 16:27:00,PARA,ACARA,Amazonia,-1.821,-48.279,12,14,16,12
2008-08-15 16:31:00,PARA,ACARA,Amazonia,-1.795,-48.242,8,15,16,37
2008-09-16 16:45:00,PARA,ACARA,Amazonia,-2.46667,-48.51667,9,16,16,30
2008-09-17 01:55:00,PARA,ACARA,Amazonia,-2.44,-48.629,9,17,1,13
2008-11-17 16:45:00,PARA,ACARA,Amazonia,-2.03333,-48.2,11,17,16,25
2008-09-18 16:19:00,PARA,ACARA,Amazonia,-1.906,-48.128,9,18,16,12
2008-11-19 16:32:00,PARA,ACARA,Amazonia,-2.1959999999999997,-48.457,11,19,16,23
2008-11-21 16:20:00,PARA,ACARA,Amazonia,-2.097,-48.213,11,21,16,23
2008-08-22 16:37:00,PARA,ACARA,Amazonia,-2.057,-48.464,8,22,16,27
2008-11-22 17:03:00,PARA,ACARA,Amazonia,-1.6340000000000001,-48.356,11,22,17,15
2008-09-23 16:37:00,PARA,ACARA,Amazonia,-1.599,-48.381,9,23,16,15
2008-10-23 16:50:00,PARA,ACARA,Amazonia,-1.784,-48.385,10,23,16,86
2008-10-24 19:53:04,PARA,ACARA,Amazonia,-2.15167,-48.29167,10,24,19,12
2008-10-25 16:38:00,PARA,ACARA,Amazonia,-2.448,-48.599,10,25,16,55
2008-10-25 20:45:00,PARA,ACARA,Amazonia,-2.21667,-48.28333,10,25,20,17
2008-11-26 16:38:00,PARA,ACARA,Amazonia,-1.882,-48.31100000000001,11,26,16,32
2008-10-27 16:26:00,PARA,ACARA,Amazonia,-1.926,-48.15,10,27,16,35
2008-10-28 17:45:00,PARA,ACARA,Amazonia,-2.4333299999999998,-48.58333,10,28,17,13
2008-08-29 16:43:00,PARA,ACARA,Amazonia,-1.8,-48.13,8,29,16,17
