datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2010-08-10 16:49:00,PARA,ABAETETUBA,Amazonia,-1.776,-48.807,8,10,16,12
2010-11-30 16:48:00,PARA,ABAETETUBA,Amazonia,-1.755,-48.652,11,30,16,17
2010-10-15 16:35:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.988,-48.468,10,15,16,11
2010-09-01 13:18:00,TOCANTINS,ABREULANDIA,Cerrado,-9.416,-49.395,9,1,13,11
2010-09-02 14:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.31352,-49.55,9,2,14,31
2010-09-02 16:53:00,TOCANTINS,ABREULANDIA,Cerrado,-9.396,-49.507,9,2,16,62
2010-09-02 19:31:40,TOCANTINS,ABREULANDIA,Cerrado,-9.35333,-49.47167,9,2,19,68
2010-09-02 22:36:17,TOCANTINS,ABREULANDIA,Cerrado,-9.35,-49.52,9,2,22,69
2010-09-03 00:30:00,TOCANTINS,ABREULANDIA,Cerrado,-9.36667,-49.48333,9,3,0,14
2010-09-03 02:17:00,TOCANTINS,ABREULANDIA,Cerrado,-9.41,-49.537,9,3,2,20
2010-09-03 05:19:00,TOCANTINS,ABREULANDIA,Cerrado,-9.377,-49.553,9,3,5,11
2010-09-03 17:36:00,TOCANTINS,ABREULANDIA,Cerrado,-9.261000000000001,-49.524,9,3,17,20
2010-09-03 21:56:22,TOCANTINS,ABREULANDIA,Cerrado,-9.32167,-49.45167,9,3,21,16
2010-09-04 01:32:10,TOCANTINS,ABREULANDIA,Cerrado,-9.308,-49.494,9,4,1,19
2010-09-04 13:48:00,TOCANTINS,ABREULANDIA,Cerrado,-9.361,-49.543,9,4,13,21
2010-09-04 16:40:00,TOCANTINS,ABREULANDIA,Cerrado,-9.363,-49.431,9,4,16,19
2010-09-10 22:13:16,TOCANTINS,ABREULANDIA,Cerrado,-9.23833,-49.665,9,10,22,12
2010-09-11 16:47:00,TOCANTINS,ABREULANDIA,Cerrado,-9.214,-49.389,9,11,16,13
2010-09-12 17:29:00,TOCANTINS,ABREULANDIA,Cerrado,-9.36,-49.316,9,12,17,12
2010-09-12 21:50:38,TOCANTINS,ABREULANDIA,Cerrado,-9.38,-49.34,9,12,21,11
2010-09-13 16:34:00,TOCANTINS,ABREULANDIA,Cerrado,-9.27,-49.351000000000006,9,13,16,21
2010-09-13 20:09:26,TOCANTINS,ABREULANDIA,Cerrado,-9.29167,-49.38333,9,13,20,37
2010-09-14 01:59:00,TOCANTINS,ABREULANDIA,Cerrado,-9.248,-49.701,9,14,1,21
2010-09-14 17:17:00,TOCANTINS,ABREULANDIA,Cerrado,-9.325,-49.298,9,14,17,19
2010-09-17 20:14:12,TOCANTINS,ABREULANDIA,Cerrado,-9.671669999999999,-48.93333,9,17,20,12
2010-08-31 14:13:00,TOCANTINS,ABREULANDIA,Cerrado,-9.37,-49.40600000000001,8,31,14,12
2010-08-31 17:05:00,TOCANTINS,ABREULANDIA,Cerrado,-9.617,-49.144,8,31,17,28
2010-08-31 20:22:23,TOCANTINS,ABREULANDIA,Cerrado,-9.39333,-49.45833,8,31,20,17
2010-10-01 21:24:37,MARANHAO,ACAILANDIA,Amazonia,-4.78833,-46.975,10,1,21,11
2010-12-02 16:35:00,MARANHAO,ACAILANDIA,Amazonia,-5.153,-47.192,12,2,16,11
2010-11-06 20:45:00,MARANHAO,ACAILANDIA,Amazonia,-4.45,-47.04,11,6,20,15
2010-11-07 16:41:00,MARANHAO,ACAILANDIA,Amazonia,-4.955,-47.71100000000001,11,7,16,13
2010-10-09 17:12:00,MARANHAO,ACAILANDIA,Amazonia,-4.948,-47.38399999999999,10,9,17,16
2010-10-09 21:45:00,MARANHAO,ACAILANDIA,Amazonia,-5.04,-47.6,10,9,21,13
2010-11-12 01:41:00,MARANHAO,ACAILANDIA,Amazonia,-4.42,-47.084,11,12,1,13
2010-10-15 05:30:00,MARANHAO,ACAILANDIA,Amazonia,-4.47389,-47.1,10,15,5,13
2010-10-15 22:01:01,MARANHAO,ACAILANDIA,Amazonia,-4.77833,-47.395,10,15,22,12
2010-09-22 19:50:00,MARANHAO,ACAILANDIA,Amazonia,-4.85765,-47.75671,9,22,19,17
2010-10-27 01:41:00,MARANHAO,ACAILANDIA,Amazonia,-4.547,-47.01600000000001,10,27,1,15
2010-11-02 16:55:04,PARA,ACARA,Amazonia,-1.88,-48.36,11,2,16,22
2010-08-03 16:43:00,PARA,ACARA,Amazonia,-1.534,-48.403,8,3,16,14
2010-09-04 16:42:00,PARA,ACARA,Amazonia,-1.74,-48.284,9,4,16,24
2010-10-04 16:54:00,PARA,ACARA,Amazonia,-2.326,-48.606,10,4,16,12
2010-11-04 16:30:00,PARA,ACARA,Amazonia,-2.17397,-48.46,11,4,16,49
2010-11-05 16:54:00,PARA,ACARA,Amazonia,-2.4090000000000003,-48.52,11,5,16,76
2010-11-05 17:30:00,PARA,ACARA,Amazonia,-1.9839799999999999,-48.33,11,5,17,14
2010-10-06 16:42:00,PARA,ACARA,Amazonia,-1.719,-48.283,10,6,16,13
2010-12-06 16:30:00,PARA,ACARA,Amazonia,-1.91398,-48.29,12,6,16,11
