datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2000-12-08 21:00:00,SANTA CATARINA,ABDON BATISTA,Mata Atlantica,-27.5717,-51.0331,12,8,21,5
2000-12-02 01:54:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.923,-48.419,12,2,1,4
2000-10-18 21:00:00,PARA,ABEL FIGUEIREDO,Amazonia,-4.89306,-48.4131,10,18,21,5
2000-08-14 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.385,-49.3331,8,14,21,4
2000-08-17 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.69306,-49.2381,8,17,21,4
2000-08-18 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.37,-49.295,8,18,21,5
2000-08-22 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.41167,-49.5081,8,22,21,4
2000-09-22 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.26306,-49.3967,9,22,21,6
2000-08-26 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.27667,-49.6517,8,26,21,4
2000-08-31 21:00:00,TOCANTINS,ABREULANDIA,Cerrado,-9.535,-49.3067,8,31,21,9
2000-12-01 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.02806,-47.1917,12,1,21,9
2000-10-02 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.89667,-47.7681,10,2,21,7
2000-11-02 01:43:00,MARANHAO,ACAILANDIA,Amazonia,-4.658,-47.418,11,2,1,6
2000-12-04 01:42:00,MARANHAO,ACAILANDIA,Amazonia,-4.895,-47.053999999999995,12,4,1,6
2000-12-05 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.65,-46.9581,12,5,21,13
2000-10-06 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.775,-47.5167,10,6,21,4
2000-12-06 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.60806,-47.0617,12,6,21,33
2000-10-07 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.775,-47.7067,10,7,21,6
2000-11-07 02:01:00,MARANHAO,ACAILANDIA,Amazonia,-4.831,-47.021,11,7,2,7
