datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2006-11-28 16:42:00,PARA,ABAETETUBA,Amazonia,-1.858,-48.871,11,28,16,13
2006-11-03 16:47:00,MARANHAO,ACAILANDIA,Amazonia,-4.907,-47.752,11,3,16,21
2006-11-04 19:57:52,MARANHAO,ACAILANDIA,Amazonia,-4.853330000000001,-46.95833,11,4,19,15
2006-11-05 01:32:41,MARANHAO,ACAILANDIA,Amazonia,-4.96,-47.19,11,5,1,13
2006-12-06 20:46:16,MARANHAO,ACAILANDIA,Amazonia,-4.67333,-47.845,12,6,20,12
2006-11-07 16:22:00,MARANHAO,ACAILANDIA,Amazonia,-4.962,-47.012,11,7,16,18
2006-11-07 20:22:39,MARANHAO,ACAILANDIA,Amazonia,-4.72167,-47.02333,11,7,20,17
2006-12-07 16:35:00,MARANHAO,ACAILANDIA,Amazonia,-4.95,-47.02,12,7,16,11
2006-09-11 00:55:29,MARANHAO,ACAILANDIA,Amazonia,-4.6483300000000005,-47.79333,9,11,0,16
2006-09-11 01:30:00,MARANHAO,ACAILANDIA,Amazonia,-4.68055,-47.81667,9,11,1,12
2006-09-11 13:34:00,MARANHAO,ACAILANDIA,Amazonia,-4.68,-47.85,9,11,13,11
2006-10-14 20:15:22,MARANHAO,ACAILANDIA,Amazonia,-4.75167,-47.90667,10,14,20,17
2006-07-23 16:40:00,MARANHAO,ACAILANDIA,Amazonia,-4.886,-47.756,7,23,16,11
2006-10-26 20:30:00,MARANHAO,ACAILANDIA,Amazonia,-4.73054,-47.05,10,26,20,16
2006-10-27 16:41:00,MARANHAO,ACAILANDIA,Amazonia,-4.842,-47.322,10,27,16,25
2006-10-27 19:55:33,MARANHAO,ACAILANDIA,Amazonia,-4.59667,-47.09167,10,27,19,11
2006-11-28 16:41:00,MARANHAO,ACAILANDIA,Amazonia,-4.735,-47.039,11,28,16,15
2006-11-03 16:48:00,PARA,ACARA,Amazonia,-1.874,-48.217,11,3,16,31
2006-11-05 16:35:00,PARA,ACARA,Amazonia,-2.009,-48.286,11,5,16,12
2006-12-07 16:35:00,PARA,ACARA,Amazonia,-2.068,-48.36600000000001,12,7,16,51
2006-08-08 16:41:00,PARA,ACARA,Amazonia,-1.79,-48.15,8,8,16,23
2006-09-09 16:42:00,PARA,ACARA,Amazonia,-1.939,-48.392,9,9,16,20
2006-11-10 16:54:00,PARA,ACARA,Amazonia,-2.425,-48.851000000000006,11,10,16,19
2006-09-11 16:29:00,PARA,ACARA,Amazonia,-1.72,-48.299,9,11,16,26
2006-10-13 16:29:00,PARA,ACARA,Amazonia,-1.913,-48.284,10,13,16,12
2006-07-16 16:35:00,PARA,ACARA,Amazonia,-2.025,-48.503,7,16,16,11
2006-07-25 16:29:00,PARA,ACARA,Amazonia,-1.716,-48.221,7,25,16,16
2006-10-25 16:54:00,PARA,ACARA,Amazonia,-1.9409999999999998,-48.293,10,25,16,21
2006-10-26 20:19:05,PARA,ACARA,Amazonia,-2.145,-48.27333,10,26,20,12
2006-11-26 16:54:00,PARA,ACARA,Amazonia,-1.868,-48.08600000000001,11,26,16,18
2006-10-27 16:42:00,PARA,ACARA,Amazonia,-1.857,-48.38800000000001,10,27,16,37
2006-08-28 16:17:00,PARA,ACARA,Amazonia,-1.865,-48.13,8,28,16,11
2006-11-28 16:42:00,PARA,ACARA,Amazonia,-1.77,-48.427,11,28,16,101
2006-10-29 16:29:00,PARA,ACARA,Amazonia,-1.921,-48.18600000000001,10,29,16,45
2006-11-30 16:29:00,PARA,ACARA,Amazonia,-2.315,-48.774,11,30,16,36
2006-08-31 16:48:00,PARA,ACARA,Amazonia,-1.9869999999999999,-48.28100000000001,8,31,16,16
2006-10-31 16:17:00,PARA,ACARA,Amazonia,-1.879,-48.264,10,31,16,14
2006-11-07 16:21:00,PIAUI,ACAUA,Caatinga,-8.354,-41.106,11,7,16,13
2006-12-07 19:43:15,CEARA,ACOPIARA,Caatinga,-6.03,-39.79,12,7,19,16
2006-11-08 19:58:56,CEARA,ACOPIARA,Caatinga,-6.205,-39.66667,11,8,19,14
2006-12-08 20:55:55,CEARA,ACOPIARA,Caatinga,-6.17667,-39.38333,12,8,20,36
2006-11-09 19:32:14,CEARA,ACOPIARA,Caatinga,-6.098330000000001,-39.52667,11,9,19,48
2006-11-10 19:30:00,CEARA,ACOPIARA,Caatinga,-6.06379,-39.6,11,10,19,17
2006-12-12 19:18:26,CEARA,ACOPIARA,Caatinga,-6.04167,-39.71,12,12,19,12
2006-12-15 19:45:30,CEARA,ACOPIARA,Caatinga,-6.03333,-39.73667,12,15,19,12
2006-11-17 19:34:22,CEARA,ACOPIARA,Caatinga,-6.0566699999999996,-39.13667,11,17,19,15
2006-10-20 21:06:37,CEARA,ACOPIARA,Caatinga,-6.1016699999999995,-39.55167,10,20,21,35
2006-12-20 19:20:36,CEARA,ACOPIARA,Caatinga,-6.09667,-39.25667,12,20,19,25
2006-11-24 20:03:20,CEARA,ACOPIARA,Caatinga,-6.103330000000001,-39.65833,11,24,20,12
2006-11-25 19:40:00,CEARA,ACOPIARA,Caatinga,-6.13333,-39.40833,11,25,19,18
