datahora,estado,municipio,bioma,latitude,longitude,mes,dia,hora,count
2000-12-05 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.65,-46.9581,12,5,21,13
2000-12-06 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.60806,-47.0617,12,6,21,33
2000-12-07 02:12:00,MARANHAO,ACAILANDIA,Amazonia,-4.763999999999999,-47.216,12,7,2,13
2000-10-10 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.606669999999999,-47.0181,10,10,21,25
2000-10-13 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.6416699999999995,-47.1731,10,13,21,11
2000-11-13 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.03667,-47.1967,11,13,21,13
2000-10-14 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.75306,-47.4681,10,14,21,30
2000-11-14 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.78806,-47.365,11,14,21,30
2000-10-15 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.09167,-47.1281,10,15,21,16
2000-10-18 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.54,-47.1631,10,18,21,16
2000-11-18 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.87667,-46.985,11,18,21,33
2000-10-22 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.945,-47.3581,10,22,21,13
2000-10-23 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-5.145,-47.1681,10,23,21,22
2000-11-23 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.395,-47.0867,11,23,21,11
2000-10-27 21:00:00,MARANHAO,ACAILANDIA,Amazonia,-4.84667,-46.925,10,27,21,11
2000-10-10 21:00:00,PIAUI,ACAUA,Caatinga,-8.161669999999999,-40.9131,10,10,21,13
2000-12-06 21:00:00,CEARA,ACOPIARA,Caatinga,-6.04,-39.325,12,6,21,29
2000-11-14 21:00:00,CEARA,ACOPIARA,Caatinga,-6.065,-39.8017,11,14,21,21
2000-10-20 21:00:00,CEARA,ACOPIARA,Caatinga,-6.01806,-39.35,10,20,21,16
2000-11-23 21:00:00,CEARA,ACOPIARA,Caatinga,-6.205,-39.635,11,23,21,41
2000-09-01 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.7130600000000005,-50.1667,9,1,21,25
2000-09-04 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.67667,-49.8417,9,4,21,15
2000-08-09 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.72,-50.5067,8,9,21,13
2000-08-22 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.55,-51.0267,8,22,21,44
2000-08-23 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-7.015,-50.1,8,23,21,24
2000-08-25 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.858060000000001,-50.6467,8,25,21,21
2000-08-26 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.98,-50.18,8,26,21,40
2000-08-27 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.748060000000001,-50.2181,8,27,21,76
2000-08-29 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.66667,-50.2517,8,29,21,18
2000-08-30 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.71667,-50.615,8,30,21,36
2000-08-31 21:00:00,PARA,AGUA AZUL DO NORTE,Amazonia,-6.75167,-50.1731,8,31,21,19
2000-10-13 21:00:00,MATO GROSSO,AGUA BOA,Cerrado,-13.8531,-52.5067,10,13,21,11
2000-11-04 13:58:00,MATO GROSSO DO SUL,AGUA CLARA,Cerrado,-19.539,-53.12300000000001,11,4,13,15
2000-05-25 22:26:20,MATO GROSSO DO SUL,AGUA CLARA,Cerrado,-20.593329999999998,-52.66167,5,25,22,11
2000-01-16 21:00:00,MATO GROSSO DO SUL,ALCINOPOLIS,Cerrado,-18.3081,-53.5967,1,16,21,11
2000-10-06 21:00:00,PARA,ALMEIRIM,Amazonia,-1.5730600000000001,-52.7081,10,6,21,23
2000-10-15 21:00:00,PARA,ALMEIRIM,Amazonia,-1.29806,-52.4717,10,15,21,20
2000-07-04 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-9.89,-55.93,7,4,21,20
2000-10-08 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-10.4567,-56.54,10,8,21,17
2000-10-11 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-10.02,-56.4831,10,11,21,16
2000-10-12 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-10.1,-56.5917,10,12,21,64
2000-10-13 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-10.355,-56.58,10,13,21,39
2000-09-20 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-10.4367,-56.2931,9,20,21,14
2000-08-21 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-10.375,-56.66,8,21,21,13
2000-09-21 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-10.4831,-56.2781,9,21,21,25
2000-06-27 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-9.843060000000001,-56.325,6,27,21,12
2000-06-28 21:00:00,MATO GROSSO,ALTA FLORESTA,Amazonia,-10.5617,-56.3667,6,28,21,23
